NÚMERO DE VACAS,STOC,ÍNDICE,TOURO NAAB,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %
295,CN,124,007HO13740,011HO17399,AltaINSPIRE 4,2.35,011HO17733,AltaFANZONE,2.54,011HO17721,AltaYOSHI,1.84
296,CN,112,777HO11028,011HO17721,AltaYOSHI,1.35,011HO17733,AltaFANZONE,2.16,011HO17399,AltaINSPIRE 4,2.22
296,CN,33,029HO19000,011HO17399,AltaINSPIRE 4,1.19,011HO17721,AltaYOSHI,1.13,011HO17733,AltaFANZONE,2.40
298,CN,182,029HO18787,011HO17721,AltaYOSHI,4.12,011HO17399,AltaINSPIRE 4,2.44,011HO17733,AltaFANZONE,5.03
303,CN,288,029HO19000,011HO17733,AltaFANZONE,4.61,011HO17399,AltaINSPIRE 4,3.23,011HO17721,AltaYOSHI,2.49
304,CN,186,029HO18960,011HO17721,AltaYOSHI,1.84,011HO17399,AltaINSPIRE 4,1.82,011HO17733,AltaFANZONE,4.84
305,CN,182,029HO18787,011HO17721,AltaYOSHI,4.12,011HO17399,AltaINSPIRE 4,2.44,011HO17733,AltaFANZONE,5.03
306,CN,267,200HO11586,011HO17721,AltaYOSHI,1.82,011HO17399,AltaINSPIRE 4,2.85,011HO17733,AltaFANZONE,1.94
307,CN,-47,011HO12124,011HO17399,AltaINSPIRE 4,2.02,011HO17721,AltaYOSHI,0.96,011HO17733,AltaFANZONE,1.70
351,CN,-41,029HO18604,011HO17399,AltaINSPIRE 4,0.87,011HO17721,AltaYOSHI,0.56,011HO17733,AltaFANZONE,0.94
353,CN,218,029HO18960,011HO17399,AltaINSPIRE 4,2.96,011HO17733,AltaFANZONE,6.39,011HO17721,AltaYOSHI,1.98
354,CN,-209,200HO11127,011HO17733,AltaFANZONE,0.96,011HO17721,AltaYOSHI,0.23,,,
356,CN,295,029HO18960,011HO17399,AltaINSPIRE 4,2.33,011HO17733,AltaFANZONE,5.51,011HO17721,AltaYOSHI,1.73
371,CN,177,029HO18708,011HO17721,AltaYOSHI,2.93,011HO17399,AltaINSPIRE 4,4.39,011HO17733,AltaFANZONE,4.32
372,CN,189,029HO18799,011HO17721,AltaYOSHI,3.00,011HO17399,AltaINSPIRE 4,4.10,011HO17733,AltaFANZONE,4.38
374,CN,16,029HO18937,011HO17399,AltaINSPIRE 4,2.56,011HO17721,AltaYOSHI,1.55,011HO17733,AltaFANZONE,3.32
375,CN,149,029HO18693,011HO17721,AltaYOSHI,2.68,011HO17733,AltaFANZONE,3.16,011HO17399,AltaINSPIRE 4,2.52
378,CN,190,029HO18693,011HO17733,AltaFANZONE,3.47,011HO17399,AltaINSPIRE 4,2.36,011HO17721,AltaYOSHI,2.50
383,CN,170,029HO18693,011HO17721,AltaYOSHI,2.19,011HO17399,AltaINSPIRE 4,2.29,011HO17733,AltaFANZONE,2.52
385,CN,169,029HO18799,011HO17721,AltaYOSHI,2.87,011HO17399,AltaINSPIRE 4,4.25,011HO17733,AltaFANZONE,3.96
390,CN,-69,009HO04004,011HO17399,AltaINSPIRE 4,1.45,011HO17721,AltaYOSHI,1.32,011HO17733,AltaFANZONE,2.09
393,CN,-54,029HO18604,011HO17399,AltaINSPIRE 4,0.87,011HO17721,AltaYOSHI,0.56,011HO17733,AltaFANZONE,0.94
395,CN,187,029HO18693,011HO17399,AltaINSPIRE 4,2.87,011HO17733,AltaFANZONE,3.41,011HO17721,AltaYOSHI,2.69
396,CN,-141,200HO03910,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.00
398,CN,-105,009HO04000,011HO17733,AltaFANZONE,2.32,011HO17721,AltaYOSHI,1.00,011HO17399,AltaINSPIRE 4,2.34
420,CN,-74,200HO10992,011HO17733,AltaFANZONE,1.16,011HO17721,AltaYOSHI,0.38,011HO17399,AltaINSPIRE 4,1.43
422,CN,157,029HO18708,011HO17721,AltaYOSHI,2.86,011HO17733,AltaFANZONE,4.32,011HO17399,AltaINSPIRE 4,4.39
425,CN,44,007HO12788,011HO17399,AltaINSPIRE 4,2.65,011HO17721,AltaYOSHI,6.28,011HO17733,AltaFANZONE,5.26
426,CN,-110,200HO11127,011HO17733,AltaFANZONE,1.16,011HO17721,AltaYOSHI,0.39,,,
427,CN,50,250HO14118,011HO17399,AltaINSPIRE 4,1.28,011HO17721,AltaYOSHI,1.27,011HO17733,AltaFANZONE,2.01
430,CN,-327,551HO03566,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.00,,,
431,CN,180,029HO18708,011HO17721,AltaYOSHI,2.74,011HO17399,AltaINSPIRE 4,3.88,011HO17733,AltaFANZONE,4.38
742,CN,180,029HO18787,011HO17721,AltaYOSHI,4.31,011HO17399,AltaINSPIRE 4,2.95,011HO17733,AltaFANZONE,4.98
897,CN,-68,029HO17971,011HO17399,AltaINSPIRE 4,1.83,011HO17721,AltaYOSHI,0.61,011HO17733,AltaFANZONE,2.15
927,CN,139,029HO19000,011HO17721,AltaYOSHI,1.44,011HO17733,AltaFANZONE,2.40,011HO17399,AltaINSPIRE 4,1.19
961,CN,230,029HO19010,011HO17733,AltaFANZONE,4.16,011HO17721,AltaYOSHI,2.21,,,
969,CN,129,029HO19248,011HO17721,AltaYOSHI,2.20,011HO17733,AltaFANZONE,3.14,,,
997,CN,-263,029HO14258,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.31,011HO17399,AltaINSPIRE 4,0.00
998,CN,171,029HO17459,011HO17721,AltaYOSHI,1.04,011HO17399,AltaINSPIRE 4,2.17,011HO17733,AltaFANZONE,2.10
1008,CN,128,011HO12422,011HO17721,AltaYOSHI,1.22,011HO17733,AltaFANZONE,2.13,011HO17399,AltaINSPIRE 4,1.63
1020,CN,161,011HO15703,011HO17721,AltaYOSHI,2.57,011HO17733,AltaFANZONE,2.33,011HO17399,AltaINSPIRE 4,2.82
1029,CN,94,029HO18208,011HO17399,AltaINSPIRE 4,1.62,011HO17721,AltaYOSHI,1.63,011HO17733,AltaFANZONE,2.54
1030,CN,186,029HO18799,011HO17721,AltaYOSHI,3.19,011HO17399,AltaINSPIRE 4,4.36,011HO17733,AltaFANZONE,4.24
1032,CN,212,029HO18225,011HO17399,AltaINSPIRE 4,1.85,011HO17733,AltaFANZONE,2.72,011HO17721,AltaYOSHI,1.75
1040,CN,-26,203HO01468,011HO17399,AltaINSPIRE 4,2.25,011HO17721,AltaYOSHI,1.90,011HO17733,AltaFANZONE,3.08
1043,CN,-1,029HO17944,011HO17733,AltaFANZONE,1.44,011HO17721,AltaYOSHI,1.34,,,
1063,CN,58,029HO17573,011HO17399,AltaINSPIRE 4,3.07,011HO17721,AltaYOSHI,1.15,011HO17733,AltaFANZONE,3.71
1066,CN,97,007HO14402,011HO17399,AltaINSPIRE 4,1.12,011HO17721,AltaYOSHI,0.65,011HO17733,AltaFANZONE,1.46
1084,CN,-18,029HO17573,011HO17399,AltaINSPIRE 4,2.05,011HO17721,AltaYOSHI,0.77,011HO17733,AltaFANZONE,2.47
1338,CN,290,029HO19226,011HO17399,AltaINSPIRE 4,3.51,011HO17733,AltaFANZONE,3.52,011HO17721,AltaYOSHI,2.16
1483,CN,94,029HO18296,011HO17733,AltaFANZONE,3.19,011HO17721,AltaYOSHI,1.68,,,
1499,CN,256,734HO00133,011HO17399,AltaINSPIRE 4,6.32,011HO17733,AltaFANZONE,2.16,011HO17721,AltaYOSHI,3.38
1514,CN,213,029HO18693,011HO17733,AltaFANZONE,3.47,011HO17399,AltaINSPIRE 4,2.36,011HO17721,AltaYOSHI,2.57
1516,CN,72,029HO19000,011HO17399,AltaINSPIRE 4,1.71,011HO17733,AltaFANZONE,3.01,011HO17721,AltaYOSHI,1.32
1520,CN,21,203HO01468,011HO17399,AltaINSPIRE 4,2.25,011HO17721,AltaYOSHI,1.75,011HO17733,AltaFANZONE,3.08
1527,CN,149,200HO11505,011HO17721,AltaYOSHI,3.96,011HO17733,AltaFANZONE,3.85,011HO17399,AltaINSPIRE 4,2.53
1529,CN,-110,029HO17971,011HO17733,AltaFANZONE,0.91,011HO17721,AltaYOSHI,0.38,011HO17399,AltaINSPIRE 4,0.81
1531,CN,145,029HO19729,011HO17721,AltaYOSHI,1.68,011HO17733,AltaFANZONE,3.27,011HO17399,AltaINSPIRE 4,3.33
1542,CN,376,029HO19629,011HO17733,AltaFANZONE,2.80,011HO17721,AltaYOSHI,1.85,011HO17399,AltaINSPIRE 4,2.06
1555,CN,101,029HO19000,011HO17399,AltaINSPIRE 4,1.96,011HO17733,AltaFANZONE,3.52,011HO17721,AltaYOSHI,1.77
1556,CN,79,029HO17918,011HO17399,AltaINSPIRE 4,1.75,011HO17721,AltaYOSHI,1.90,011HO17733,AltaFANZONE,2.91
1565,CN,79,029HO17918,011HO17399,AltaINSPIRE 4,1.75,011HO17721,AltaYOSHI,1.90,011HO17733,AltaFANZONE,2.91
1568,CN,267,029HO19809,011HO17733,AltaFANZONE,3.83,011HO17399,AltaINSPIRE 4,2.56,011HO17721,AltaYOSHI,3.30
1569,CN,154,029HO19010,011HO17721,AltaYOSHI,1.49,011HO17733,AltaFANZONE,2.57,,,
1573,CN,169,029HO18799,011HO17721,AltaYOSHI,2.87,011HO17399,AltaINSPIRE 4,4.25,011HO17733,AltaFANZONE,3.96
1583,CN,139,029HO19000,011HO17721,AltaYOSHI,1.44,011HO17733,AltaFANZONE,2.40,011HO17399,AltaINSPIRE 4,1.19
1586,CN,297,551HO03970,011HO17721,AltaYOSHI,1.69,011HO17399,AltaINSPIRE 4,3.14,011HO17733,AltaFANZONE,2.41
1599,CN,-156,029HO17576,011HO17733,AltaFANZONE,2.34,011HO17721,AltaYOSHI,1.15,011HO17399,AltaINSPIRE 4,1.63
1610,CN,74,203HO01468,011HO17399,AltaINSPIRE 4,2.61,011HO17721,AltaYOSHI,1.82,011HO17733,AltaFANZONE,3.58
1616,CN,333,029HO19448,011HO17733,AltaFANZONE,3.63,011HO17399,AltaINSPIRE 4,2.44,011HO17721,AltaYOSHI,3.19
1621,CN,125,200HO11387,011HO17721,AltaYOSHI,1.33,011HO17733,AltaFANZONE,2.11,,,
1637,CN,79,029HO17918,011HO17399,AltaINSPIRE 4,1.75,011HO17721,AltaYOSHI,1.90,011HO17733,AltaFANZONE,2.91
1644,CN,-328,799HO00004,011HO17733,AltaFANZONE,0.05,011HO17399,AltaINSPIRE 4,0.00,011HO17721,AltaYOSHI,0.00
1654,CN,283,029HO19226,011HO17399,AltaINSPIRE 4,3.11,011HO17733,AltaFANZONE,3.80,011HO17721,AltaYOSHI,2.96
1659,CN,243,200HO10955,011HO17399,AltaINSPIRE 4,6.98,011HO17733,AltaFANZONE,2.25,011HO17721,AltaYOSHI,2.86
1664,CN,295,029HO19398,011HO17399,AltaINSPIRE 4,3.40,011HO17733,AltaFANZONE,3.92,011HO17721,AltaYOSHI,2.48
1674,CN,-15,029HO17607,011HO17399,AltaINSPIRE 4,0.82,011HO17721,AltaYOSHI,1.23,011HO17733,AltaFANZONE,1.43
1682,CN,67,777HO10693,011HO17399,AltaINSPIRE 4,2.15,011HO17721,AltaYOSHI,1.18,011HO17733,AltaFANZONE,2.88
1684,CN,248,011HO15088,011HO17721,AltaYOSHI,1.55,011HO17399,AltaINSPIRE 4,2.50,011HO17733,AltaFANZONE,2.86
1688,CN,-191,200HO10363,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.00
1696,CN,123,011HO12422,011HO17721,AltaYOSHI,1.22,011HO17733,AltaFANZONE,2.10,011HO17399,AltaINSPIRE 4,1.63
1706,CN,277,029HO19389,011HO17733,AltaFANZONE,3.70,011HO17399,AltaINSPIRE 4,3.14,011HO17721,AltaYOSHI,2.18
1708,CN,190,029HO18799,011HO17721,AltaYOSHI,3.16,011HO17399,AltaINSPIRE 4,4.30,011HO17733,AltaFANZONE,4.74
1712,CN,83,029HO19010,011HO17733,AltaFANZONE,2.93,011HO17721,AltaYOSHI,1.65,,,
1713,CN,226,029HO19809,011HO17399,AltaINSPIRE 4,2.74,011HO17733,AltaFANZONE,3.69,011HO17721,AltaYOSHI,3.31
1714,CN,327,029HO19448,011HO17733,AltaFANZONE,4.77,011HO17399,AltaINSPIRE 4,2.76,011HO17721,AltaYOSHI,4.22
1716,CN,54,029HO19010,011HO17733,AltaFANZONE,2.57,011HO17721,AltaYOSHI,1.42,,,
1722,CN,139,029HO19000,011HO17721,AltaYOSHI,1.44,011HO17733,AltaFANZONE,2.40,011HO17399,AltaINSPIRE 4,1.19
1723,CN,312,011HO15779,011HO17399,AltaINSPIRE 4,3.22,011HO17733,AltaFANZONE,3.70,011HO17721,AltaYOSHI,3.44
1729,CN,67,777HO10693,011HO17399,AltaINSPIRE 4,2.15,011HO17721,AltaYOSHI,1.18,011HO17733,AltaFANZONE,2.88
