NÚMERO DE VACAS,STOC,ÍNDICE,TOURO NAAB,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %
1958,CN,263,011HO15088,011HO17721,AltaYOSHI,1.66,011HO17399,AltaINSPIRE 4,2.87,011HO17733,AltaFANZONE,3.27
1960,CN,-255,029HO14344,011HO17733,AltaFANZONE,0.00,011HO17399,AltaINSPIRE 4,0.00,011HO17721,AltaYOSHI,0.00
1966,CN,272,029HO19398,011HO17399,AltaINSPIRE 4,2.95,011HO17733,AltaFANZONE,3.82,011HO17721,AltaYOSHI,2.37
1978,CN,-233,029HO17607,011HO17733,AltaFANZONE,1.43,011HO17399,AltaINSPIRE 4,0.82,011HO17721,AltaYOSHI,0.92
1982,CN,165,029HO19000,011HO17399,AltaINSPIRE 4,1.89,011HO17721,AltaYOSHI,2.11,011HO17733,AltaFANZONE,3.68
1985,CN,95,551HO03720,011HO17399,AltaINSPIRE 4,4.33,011HO17721,AltaYOSHI,1.96,011HO17733,AltaFANZONE,2.40
1988,CN,252,029HO19398,011HO17399,AltaINSPIRE 4,3.38,011HO17733,AltaFANZONE,4.17,011HO17721,AltaYOSHI,2.41
1991,CN,232,029HO19226,011HO17399,AltaINSPIRE 4,2.20,011HO17733,AltaFANZONE,3.31,011HO17721,AltaYOSHI,1.64
1995,CN,3,029HO17573,011HO17399,AltaINSPIRE 4,2.05,011HO17721,AltaYOSHI,0.77,011HO17733,AltaFANZONE,2.47
1996,CN,187,029HO18693,011HO17399,AltaINSPIRE 4,2.87,011HO17733,AltaFANZONE,3.41,011HO17721,AltaYOSHI,2.69
1997,CN,109,011HO12264,011HO17399,AltaINSPIRE 4,1.45,011HO17721,AltaYOSHI,0.63,011HO17733,AltaFANZONE,1.78
2000,CN,52,029HO18689,011HO17399,AltaINSPIRE 4,2.38,011HO17721,AltaYOSHI,2.20,011HO17733,AltaFANZONE,2.84
2002,CN,290,029HO19398,011HO17399,AltaINSPIRE 4,3.39,011HO17733,AltaFANZONE,4.73,011HO17721,AltaYOSHI,3.49
2003,CN,363,029HO19773,011HO17733,AltaFANZONE,5.28,011HO17399,AltaINSPIRE 4,2.42,011HO17721,AltaYOSHI,2.91
2015,CN,159,029HO19286,011HO17721,AltaYOSHI,1.72,011HO17733,AltaFANZONE,3.31,011HO17399,AltaINSPIRE 4,2.08
2027,CN,233,007HO15563,011HO17721,AltaYOSHI,1.57,011HO17399,AltaINSPIRE 4,2.30,011HO17733,AltaFANZONE,3.19
2029,CN,-394,029HO13601,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.00
2046,CN,66,029HO18960,011HO17399,AltaINSPIRE 4,1.82,011HO17721,AltaYOSHI,1.53,011HO17733,AltaFANZONE,4.84
2055,CN,274,029HO19010,011HO17733,AltaFANZONE,4.70,011HO17721,AltaYOSHI,3.32,,,
2159,CN,-129,029HO17573,011HO17733,AltaFANZONE,2.47,011HO17721,AltaYOSHI,0.77,011HO17399,AltaINSPIRE 4,2.05
2164,CN,281,011HO15284,011HO17721,AltaYOSHI,3.06,011HO17733,AltaFANZONE,3.27,,,
2170,CN,218,001HO14018,011HO17399,AltaINSPIRE 4,2.90,011HO17733,AltaFANZONE,1.24,011HO17721,AltaYOSHI,1.71
2183,CN,283,029HO18858,011HO17733,AltaFANZONE,2.72,011HO17399,AltaINSPIRE 4,2.80,011HO17721,AltaYOSHI,2.04
2187,CN,-96,029HO17573,011HO17733,AltaFANZONE,2.47,011HO17721,AltaYOSHI,0.77,011HO17399,AltaINSPIRE 4,2.05
2188,CN,-155,551HO03415,011HO17733,AltaFANZONE,2.25,011HO17721,AltaYOSHI,1.39,011HO17399,AltaINSPIRE 4,1.53
2192,CN,287,029HO19226,011HO17399,AltaINSPIRE 4,3.07,011HO17733,AltaFANZONE,3.01,011HO17721,AltaYOSHI,2.14
2197,CN,160,014HO15779,011HO17721,AltaYOSHI,1.72,011HO17733,AltaFANZONE,2.68,011HO17399,AltaINSPIRE 4,1.00
2200,CN,36,203HO01468,011HO17399,AltaINSPIRE 4,2.25,011HO17721,AltaYOSHI,1.75,011HO17733,AltaFANZONE,3.08
2205,CN,100,029HO18296,011HO17733,AltaFANZONE,3.91,011HO17721,AltaYOSHI,1.96,,,
2207,CN,156,011HO15053,011HO17721,AltaYOSHI,2.01,011HO17733,AltaFANZONE,1.98,011HO17399,AltaINSPIRE 4,3.01
2212,CN,370,551HO04034,011HO17733,AltaFANZONE,2.23,011HO17399,AltaINSPIRE 4,2.04,011HO17721,AltaYOSHI,1.33
2213,CN,272,029HO19389,011HO17733,AltaFANZONE,3.49,011HO17399,AltaINSPIRE 4,2.95,011HO17721,AltaYOSHI,1.75
2218,CN,212,029HO18225,011HO17399,AltaINSPIRE 4,1.85,011HO17733,AltaFANZONE,2.72,011HO17721,AltaYOSHI,1.75
2220,CN,21,029HO18373,011HO17399,AltaINSPIRE 4,1.20,011HO17721,AltaYOSHI,1.47,011HO17733,AltaFANZONE,1.81
2221,CN,61,029HO18611,011HO17733,AltaFANZONE,3.14,011HO17721,AltaYOSHI,2.41,,,
2224,CN,224,011HO15245,011HO17399,AltaINSPIRE 4,4.51,011HO17733,AltaFANZONE,3.22,011HO17721,AltaYOSHI,4.09
2231,CN,330,029HO19448,011HO17733,AltaFANZONE,3.99,011HO17399,AltaINSPIRE 4,2.72,011HO17721,AltaYOSHI,3.40
2240,CN,330,029HO19448,011HO17733,AltaFANZONE,3.99,011HO17399,AltaINSPIRE 4,2.72,011HO17721,AltaYOSHI,3.40
2588,CN,365,250HO15513,011HO17399,AltaINSPIRE 4,2.13,011HO17733,AltaFANZONE,2.84,011HO17721,AltaYOSHI,1.76
2611,CN,234,007HO14229,011HO17721,AltaYOSHI,4.46,011HO17399,AltaINSPIRE 4,3.49,011HO17733,AltaFANZONE,4.46
2713,CN,-49,777HO03913,011HO17399,AltaINSPIRE 4,0.20,011HO17721,AltaYOSHI,0.05,011HO17733,AltaFANZONE,0.43
2762,CN,28,777HO03913,011HO17399,AltaINSPIRE 4,0.00,011HO17721,AltaYOSHI,0.01,011HO17733,AltaFANZONE,0.20
2789,CN,246,007HO14320,011HO17399,AltaINSPIRE 4,2.30,011HO17733,AltaFANZONE,3.54,011HO17721,AltaYOSHI,1.40
2814,CN,216,551HO03379,011HO17721,AltaYOSHI,0.89,011HO17399,AltaINSPIRE 4,1.22,011HO17733,AltaFANZONE,1.75
2818,CN,103,200HO03910,011HO17399,AltaINSPIRE 4,1.09,011HO17721,AltaYOSHI,0.67,011HO17733,AltaFANZONE,1.11
2869,CN,-211,007HO13839,011HO17733,AltaFANZONE,0.05,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.00
2948,CN,240,777HO12222,011HO17721,AltaYOSHI,1.55,011HO17399,AltaINSPIRE 4,3.37,011HO17733,AltaFANZONE,2.94
2965,CN,202,029HO19664,011HO17721,AltaYOSHI,1.24,011HO17399,AltaINSPIRE 4,1.78,011HO17733,AltaFANZONE,3.32
2988,CN,123,097HO42142,011HO17721,AltaYOSHI,1.18,011HO17733,AltaFANZONE,1.90,011HO17399,AltaINSPIRE 4,1.93
3005,CN,329,029HO19773,011HO17399,AltaINSPIRE 4,1.20,011HO17733,AltaFANZONE,2.76,011HO17721,AltaYOSHI,0.86
3041,CN,309,009HO15892,011HO17733,AltaFANZONE,5.88,011HO17399,AltaINSPIRE 4,1.67,011HO17721,AltaYOSHI,1.81
3057,CN,54,029HO00916,011HO17399,AltaINSPIRE 4,1.41,011HO17721,AltaYOSHI,0.78,011HO17733,AltaFANZONE,1.36
3063,CN,-218,200HO11127,011HO17733,AltaFANZONE,0.96,011HO17721,AltaYOSHI,0.23,,,
3065,CN,296,250HO15156,011HO17399,AltaINSPIRE 4,2.91,011HO17733,AltaFANZONE,3.23,011HO17721,AltaYOSHI,2.59
3097,CN,226,097HO42537,011HO17721,AltaYOSHI,2.88,011HO17399,AltaINSPIRE 4,5.49,011HO17733,AltaFANZONE,1.40
3105,CN,75,011HO12422,011HO17399,AltaINSPIRE 4,1.97,011HO17721,AltaYOSHI,1.59,011HO17733,AltaFANZONE,2.59
3112,CN,206,007HO14460,011HO17721,AltaYOSHI,1.13,011HO17399,AltaINSPIRE 4,1.85,011HO17733,AltaFANZONE,2.18
3123,CN,-412,799HO00003,011HO17733,AltaFANZONE,0.91,011HO17399,AltaINSPIRE 4,0.81,011HO17721,AltaYOSHI,0.23
3125,CN,262,200HO12374,011HO17721,AltaYOSHI,0.93,011HO17399,AltaINSPIRE 4,1.75,011HO17733,AltaFANZONE,3.11
3138,CN,-166,799HO00054,011HO17733,AltaFANZONE,0.05,011HO17721,AltaYOSHI,0.01,011HO17399,AltaINSPIRE 4,0.00
3157,CN,288,009HO15892,011HO17733,AltaFANZONE,5.88,011HO17399,AltaINSPIRE 4,1.67,011HO17721,AltaYOSHI,1.81
3160,CN,212,551HO03379,011HO17721,AltaYOSHI,0.95,011HO17399,AltaINSPIRE 4,1.35,011HO17733,AltaFANZONE,1.87
3182,CN,481,551HO04119,011HO17733,AltaFANZONE,1.04,011HO17399,AltaINSPIRE 4,0.76,011HO17721,AltaYOSHI,0.38
3184,CN,-13,097HO42142,011HO17399,AltaINSPIRE 4,0.46,011HO17721,AltaYOSHI,0.22,011HO17733,AltaFANZONE,0.46
3200,CN,66,029HO19728,011HO17399,AltaINSPIRE 4,1.69,011HO17721,AltaYOSHI,1.18,011HO17733,AltaFANZONE,2.38
3224,CN,162,200HO11850,011HO17721,AltaYOSHI,1.37,011HO17733,AltaFANZONE,1.91,011HO17399,AltaINSPIRE 4,1.63
3225,CN,-199,200HO12105,011HO17733,AltaFANZONE,0.48,011HO17721,AltaYOSHI,0.11,,,
3237,CN,331,777HO12363,011HO17399,AltaINSPIRE 4,2.11,011HO17733,AltaFANZONE,1.04,011HO17721,AltaYOSHI,0.94
3240,CN,361,014HO15582,011HO17399,AltaINSPIRE 4,1.85,011HO17733,AltaFANZONE,3.00,011HO17721,AltaYOSHI,1.59
3241,CN,107,011HO12422,011HO17399,AltaINSPIRE 4,1.63,011HO17721,AltaYOSHI,1.22,011HO17733,AltaFANZONE,2.20
3258,CN,155,777HO10792,011HO17721,AltaYOSHI,1.21,011HO17733,AltaFANZONE,2.37,011HO17399,AltaINSPIRE 4,2.25
3267,CN,445,007HO15167,011HO17733,AltaFANZONE,9.84,011HO17399,AltaINSPIRE 4,3.66,011HO17721,AltaYOSHI,3.91
3289,CN,160,007HO14792,011HO17721,AltaYOSHI,0.98,011HO17733,AltaFANZONE,2.44,011HO17399,AltaINSPIRE 4,2.28
3296,CN,260,007HO15937,011HO17721,AltaYOSHI,1.33,011HO17399,AltaINSPIRE 4,1.24,011HO17733,AltaFANZONE,2.37
3298,CN,378,007HO15913,011HO17733,AltaFANZONE,6.91,011HO17399,AltaINSPIRE 4,2.88,011HO17721,AltaYOSHI,4.49
3308,CN,230,200HO12374,011HO17721,AltaYOSHI,0.62,011HO17399,AltaINSPIRE 4,1.04,011HO17733,AltaFANZONE,2.14
3327,CN,-218,200HO11127,011HO17733,AltaFANZONE,0.96,011HO17721,AltaYOSHI,0.23,,,
3347,CN,240,799HO00045,011HO17721,AltaYOSHI,1.33,011HO17399,AltaINSPIRE 4,1.48,011HO17733,AltaFANZONE,3.82
3348,CN,-234,799HO00004,011HO17733,AltaFANZONE,0.61,011HO17399,AltaINSPIRE 4,0.38,011HO17721,AltaYOSHI,0.33
3355,CN,67,001HO15515,011HO17399,AltaINSPIRE 4,2.08,011HO17721,AltaYOSHI,4.67,011HO17733,AltaFANZONE,1.40
3357,CN,257,551HO03823,011HO17721,AltaYOSHI,1.14,011HO17399,AltaINSPIRE 4,1.66,011HO17733,AltaFANZONE,2.72
3362,CN,228,029HO19791,011HO17721,AltaYOSHI,1.04,011HO17399,AltaINSPIRE 4,1.39,011HO17733,AltaFANZONE,1.94
3378,CN,300,029HO19791,011HO17399,AltaINSPIRE 4,1.39,011HO17733,AltaFANZONE,1.94,011HO17721,AltaYOSHI,1.04
3385,CN,-194,200HO12105,011HO17733,AltaFANZONE,0.46,011HO17721,AltaYOSHI,0.11,,,
3396,CN,313,001HO15461,011HO17399,AltaINSPIRE 4,3.37,011HO17733,AltaFANZONE,3.11,011HO17721,AltaYOSHI,1.92
3400,CN,297,799HO00045,011HO17721,AltaYOSHI,1.06,011HO17399,AltaINSPIRE 4,1.09,011HO17733,AltaFANZONE,3.23
3403,CN,304,777HO12222,011HO17399,AltaINSPIRE 4,3.48,011HO17733,AltaFANZONE,4.50,011HO17721,AltaYOSHI,1.81
3408,CN,511,551HO04119,011HO17733,AltaFANZONE,2.25,011HO17399,AltaINSPIRE 4,2.33,011HO17721,AltaYOSHI,1.17
3410,CN,270,011HO15779,011HO17721,AltaYOSHI,3.26,011HO17399,AltaINSPIRE 4,3.65,011HO17733,AltaFANZONE,3.75
3412,CN,389,007HO15167,011HO17733,AltaFANZONE,9.98,011HO17399,AltaINSPIRE 4,3.75,011HO17721,AltaYOSHI,4.10
3447,CN,335,014HO15201,011HO17399,AltaINSPIRE 4,2.21,011HO17733,AltaFANZONE,2.98,011HO17721,AltaYOSHI,2.42
3454,CN,270,029HO19664,011HO17721,AltaYOSHI,1.40,011HO17399,AltaINSPIRE 4,2.11,011HO17733,AltaFANZONE,3.75
3455,CN,342,029HO19773,011HO17399,AltaINSPIRE 4,2.45,011HO17733,AltaFANZONE,3.74,011HO17721,AltaYOSHI,1.56
3463,CN,510,551HO04412,011HO17733,AltaFANZONE,2.09,011HO17399,AltaINSPIRE 4,1.73,011HO17721,AltaYOSHI,1.03
3501,CN,255,007HO14229,011HO17399,AltaINSPIRE 4,2.60,011HO17733,AltaFANZONE,4.25,011HO17721,AltaYOSHI,4.12
3503,CN,191,777HO09632,011HO17721,AltaYOSHI,1.97,011HO17733,AltaFANZONE,1.83,,,
3512,CN,354,200HO12374,011HO17721,AltaYOSHI,1.63,011HO17399,AltaINSPIRE 4,2.87,011HO17733,AltaFANZONE,3.42
3539,CN,225,011HO12422,011HO17721,AltaYOSHI,1.99,011HO17399,AltaINSPIRE 4,3.04,011HO17733,AltaFANZONE,3.66
3561,CN,348,011HO15779,011HO17399,AltaINSPIRE 4,3.61,011HO17733,AltaFANZONE,3.50,011HO17721,AltaYOSHI,3.25
3564,CN,145,011HO12422,011HO17721,AltaYOSHI,1.22,011HO17733,AltaFANZONE,2.15,011HO17399,AltaINSPIRE 4,1.63
3566,CN,228,001HO15834,011HO17721,AltaYOSHI,2.44,011HO17399,AltaINSPIRE 4,2.72,011HO17733,AltaFANZONE,1.99
3585,CN,315,200HO11977,011HO17733,AltaFANZONE,2.20,011HO17399,AltaINSPIRE 4,1.86,011HO17721,AltaYOSHI,1.64
3603,CN,297,014HO15367,011HO17399,AltaINSPIRE 4,2.00,011HO17733,AltaFANZONE,2.56,011HO17721,AltaYOSHI,1.67
3609,CN,272,200HO12374,011HO17721,AltaYOSHI,0.62,011HO17399,AltaINSPIRE 4,1.04,011HO17733,AltaFANZONE,2.14
3622,CN,233,200HO11783,011HO17721,AltaYOSHI,0.87,011HO17399,AltaINSPIRE 4,1.61,011HO17733,AltaFANZONE,1.68
3623,CN,391,009HO15892,011HO17733,AltaFANZONE,7.11,011HO17399,AltaINSPIRE 4,2.65,011HO17721,AltaYOSHI,2.61
3633,CN,232,011HO15088,011HO17721,AltaYOSHI,1.31,011HO17399,AltaINSPIRE 4,1.94,011HO17733,AltaFANZONE,2.50
3642,CN,331,014HO15971,011HO17733,AltaFANZONE,3.93,011HO17399,AltaINSPIRE 4,1.82,011HO17721,AltaYOSHI,2.18
3651,CN,449,007HO15167,011HO17399,AltaINSPIRE 4,4.17,011HO17721,AltaYOSHI,4.12,011HO17733,AltaFANZONE,10.26
3659,CN,-140,777HO03913,011HO17733,AltaFANZONE,0.23,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.00
3664,CN,408,001HO15476,011HO17733,AltaFANZONE,2.13,011HO17721,AltaYOSHI,1.96,,,
3674,CN,307,007HO14229,011HO17399,AltaINSPIRE 4,1.79,011HO17733,AltaFANZONE,3.27,011HO17721,AltaYOSHI,3.65
3677,CN,-65,777HO03913,011HO17399,AltaINSPIRE 4,0.20,011HO17721,AltaYOSHI,0.05,011HO17733,AltaFANZONE,0.43
3684,CN,374,200HO12123,011HO17733,AltaFANZONE,2.54,011HO17399,AltaINSPIRE 4,6.60,011HO17721,AltaYOSHI,3.40
3687,CN,340,029HO19791,011HO17399,AltaINSPIRE 4,1.39,011HO17733,AltaFANZONE,1.94,011HO17721,AltaYOSHI,1.04
3689,CN,363,777HO12363,011HO17399,AltaINSPIRE 4,2.11,011HO17733,AltaFANZONE,1.04,011HO17721,AltaYOSHI,0.95
3704,CN,272,029HO19728,011HO17399,AltaINSPIRE 4,1.69,011HO17733,AltaFANZONE,2.36,011HO17721,AltaYOSHI,1.21
3732,CN,-329,007HO12587,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.00
3753,CN,31,200HO03910,011HO17399,AltaINSPIRE 4,0.65,011HO17721,AltaYOSHI,0.57,011HO17733,AltaFANZONE,1.27
3761,CN,264,029HO19728,011HO17733,AltaFANZONE,3.41,011HO17399,AltaINSPIRE 4,2.66,011HO17721,AltaYOSHI,1.83
3764,CN,189,011HO15053,011HO17721,AltaYOSHI,3.57,011HO17399,AltaINSPIRE 4,3.34,011HO17733,AltaFANZONE,2.90
3777,CN,268,777HO12222,011HO17721,AltaYOSHI,1.97,011HO17399,AltaINSPIRE 4,3.78,011HO17733,AltaFANZONE,3.54
3788,CN,301,097HO42537,011HO17733,AltaFANZONE,1.40,011HO17399,AltaINSPIRE 4,5.49,011HO17721,AltaYOSHI,2.88
3799,CN,388,007HO15523,011HO17733,AltaFANZONE,1.86,011HO17721,AltaYOSHI,1.19,,,
3802,CN,375,001HO15618,011HO17733,AltaFANZONE,2.97,011HO17399,AltaINSPIRE 4,7.01,011HO17721,AltaYOSHI,3.96
3806,CN,331,551HO04438,011HO17721,AltaYOSHI,1.09,011HO17399,AltaINSPIRE 4,1.64,011HO17733,AltaFANZONE,1.79
3809,CN,268,007HO15523,011HO17721,AltaYOSHI,1.01,011HO17733,AltaFANZONE,1.93,,,
3829,CN,334,551HO03823,011HO17733,AltaFANZONE,2.12,011HO17399,AltaINSPIRE 4,3.97,011HO17721,AltaYOSHI,1.80
3838,CN,245,007HO14229,011HO17399,AltaINSPIRE 4,2.66,011HO17733,AltaFANZONE,4.53,011HO17721,AltaYOSHI,4.31
3855,CN,220,007HO15523,011HO17721,AltaYOSHI,1.05,011HO17733,AltaFANZONE,1.82,,,
3863,CN,-211,007HO13839,011HO17733,AltaFANZONE,0.05,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.00
3892,CN,277,029HO19728,011HO17399,AltaINSPIRE 4,2.48,011HO17733,AltaFANZONE,3.30,011HO17721,AltaYOSHI,1.54
3907,CN,156,011HO15049,011HO17721,AltaYOSHI,2.09,011HO17733,AltaFANZONE,1.83,011HO17399,AltaINSPIRE 4,2.76
3914,CN,140,011HO12370,011HO17721,AltaYOSHI,4.36,011HO17733,AltaFANZONE,4.33,011HO17399,AltaINSPIRE 4,3.24
3922,CN,317,097HO42537,011HO17721,AltaYOSHI,2.88,011HO17399,AltaINSPIRE 4,5.49,011HO17733,AltaFANZONE,1.40
3931,CN,458,007HO15085,011HO17733,AltaFANZONE,3.61,011HO17399,AltaINSPIRE 4,2.06,011HO17721,AltaYOSHI,1.25
3943,CN,199,029HO20159,011HO17721,AltaYOSHI,1.13,011HO17399,AltaINSPIRE 4,1.73,011HO17733,AltaFANZONE,1.75
3945,CN,300,011HO15245,011HO17733,AltaFANZONE,3.57,011HO17399,AltaINSPIRE 4,4.49,011HO17721,AltaYOSHI,4.08
3946,CN,2,180HO92525,011HO17399,AltaINSPIRE 4,0.97,011HO17721,AltaYOSHI,0.62,011HO17733,AltaFANZONE,1.48
3965,CN,-99,777HO03913,011HO17733,AltaFANZONE,0.20,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.00
3976,CN,419,009HO15892,011HO17733,AltaFANZONE,7.38,011HO17399,AltaINSPIRE 4,2.92,011HO17721,AltaYOSHI,2.72
3995,CN,219,011HO15088,011HO17721,AltaYOSHI,1.55,011HO17399,AltaINSPIRE 4,2.50,011HO17733,AltaFANZONE,2.86
4005,CN,239,200HO11850,011HO17399,AltaINSPIRE 4,2.76,011HO17733,AltaFANZONE,2.91,011HO17721,AltaYOSHI,1.79
4027,CN,267,011HO15779,011HO17721,AltaYOSHI,3.45,011HO17399,AltaINSPIRE 4,3.62,011HO17733,AltaFANZONE,4.14
4033,CN,162,551HO03379,011HO17721,AltaYOSHI,0.85,011HO17733,AltaFANZONE,1.74,011HO17399,AltaINSPIRE 4,1.12
4046,CN,113,200HO11850,011HO17721,AltaYOSHI,1.16,011HO17733,AltaFANZONE,2.32,011HO17399,AltaINSPIRE 4,1.84
4064,CN,323,011HO15806,011HO17733,AltaFANZONE,3.63,011HO17399,AltaINSPIRE 4,3.47,011HO17721,AltaYOSHI,2.96
4077,CN,402,007HO15167,011HO17721,AltaYOSHI,4.07,011HO17399,AltaINSPIRE 4,4.15,011HO17733,AltaFANZONE,10.30
4084,CN,352,200HO12374,011HO17721,AltaYOSHI,0.62,011HO17399,AltaINSPIRE 4,1.04,011HO17733,AltaFANZONE,2.14
4087,CN,419,799HO00045,011HO17733,AltaFANZONE,3.97,011HO17399,AltaINSPIRE 4,2.29,011HO17721,AltaYOSHI,1.81
4089,CN,346,097HO42537,011HO17399,AltaINSPIRE 4,6.49,011HO17733,AltaFANZONE,2.63,011HO17721,AltaYOSHI,3.53
4090,CN,95,777HO11782,011HO17399,AltaINSPIRE 4,1.02,011HO17721,AltaYOSHI,0.61,011HO17733,AltaFANZONE,1.36
4093,CN,455,007HO15085,011HO17733,AltaFANZONE,3.70,011HO17399,AltaINSPIRE 4,1.61,011HO17721,AltaYOSHI,1.03
4109,CN,238,551HO03823,011HO17721,AltaYOSHI,1.67,011HO17399,AltaINSPIRE 4,2.26,011HO17733,AltaFANZONE,3.06
4112,CN,102,777HO10792,011HO17399,AltaINSPIRE 4,4.05,011HO17721,AltaYOSHI,1.73,011HO17733,AltaFANZONE,2.62
4113,CN,-218,200HO11127,011HO17733,AltaFANZONE,0.96,011HO17721,AltaYOSHI,0.23,,,
4121,CN,34,011HO12060,011HO17399,AltaINSPIRE 4,2.27,011HO17721,AltaYOSHI,1.65,011HO17733,AltaFANZONE,2.67
4127,CN,-218,200HO11127,011HO17733,AltaFANZONE,0.96,011HO17721,AltaYOSHI,0.23,,,
4130,CN,279,777HO11852,011HO17721,AltaYOSHI,1.79,011HO17399,AltaINSPIRE 4,3.95,011HO17733,AltaFANZONE,2.50
4133,CN,344,029HO19518,011HO17733,AltaFANZONE,1.89,011HO17721,AltaYOSHI,1.20,011HO17399,AltaINSPIRE 4,1.94
4157,CN,349,200HO11977,011HO17399,AltaINSPIRE 4,2.96,011HO17733,AltaFANZONE,3.61,011HO17721,AltaYOSHI,3.40
4163,CN,397,007HO15167,011HO17733,AltaFANZONE,9.60,011HO17399,AltaINSPIRE 4,3.26,011HO17721,AltaYOSHI,3.69
4177,CN,-329,007HO12587,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.00
4184,CN,20,007HO15634,011HO17399,AltaINSPIRE 4,0.40,011HO17721,AltaYOSHI,0.14,011HO17733,AltaFANZONE,0.46
4185,CN,-4,011HO12422,011HO17399,AltaINSPIRE 4,1.63,011HO17721,AltaYOSHI,1.22,011HO17733,AltaFANZONE,2.05
4186,CN,204,001HO15834,011HO17721,AltaYOSHI,2.44,011HO17399,AltaINSPIRE 4,2.72,011HO17733,AltaFANZONE,1.99
4187,CN,256,001HO15055,011HO17721,AltaYOSHI,3.49,011HO17399,AltaINSPIRE 4,4.95,011HO17733,AltaFANZONE,3.28
4190,CN,-113,007HO15825,011HO17733,AltaFANZONE,1.35,011HO17721,AltaYOSHI,0.71,011HO17399,AltaINSPIRE 4,1.26
4193,CN,86,011HO12060,011HO17399,AltaINSPIRE 4,2.08,011HO17721,AltaYOSHI,2.55,011HO17733,AltaFANZONE,2.88
4196,CN,-211,200HO11127,011HO17733,AltaFANZONE,0.96,011HO17721,AltaYOSHI,0.23,,,
4201,CN,-89,200HO11652,011HO17733,AltaFANZONE,0.54,011HO17721,AltaYOSHI,0.14,011HO17399,AltaINSPIRE 4,0.46
4209,CN,323,007HO14229,011HO17733,AltaFANZONE,5.70,011HO17399,AltaINSPIRE 4,2.70,011HO17721,AltaYOSHI,4.35
4226,CN,199,029HO20159,011HO17721,AltaYOSHI,1.13,011HO17399,AltaINSPIRE 4,1.73,011HO17733,AltaFANZONE,1.75
4245,CN,361,777HO11852,011HO17733,AltaFANZONE,2.71,011HO17399,AltaINSPIRE 4,3.59,011HO17721,AltaYOSHI,1.63
4251,CN,-184,007HO13730,011HO17733,AltaFANZONE,1.02,011HO17721,AltaYOSHI,0.65,011HO17399,AltaINSPIRE 4,0.73
4253,CN,88,011HO15257,011HO17399,AltaINSPIRE 4,3.73,011HO17721,AltaYOSHI,2.65,011HO17733,AltaFANZONE,2.57
4265,CN,436,007HO15167,011HO17399,AltaINSPIRE 4,5.91,011HO17721,AltaYOSHI,4.71,011HO17733,AltaFANZONE,10.31
4269,CN,113,011HO15088,011HO17721,AltaYOSHI,1.05,011HO17733,AltaFANZONE,2.07,011HO17399,AltaINSPIRE 4,1.63
4271,CN,347,200HO11783,011HO17733,AltaFANZONE,1.96,011HO17399,AltaINSPIRE 4,1.73,011HO17721,AltaYOSHI,0.99
4276,CN,264,011HO15779,011HO17721,AltaYOSHI,3.36,011HO17399,AltaINSPIRE 4,3.52,011HO17733,AltaFANZONE,3.99
4279,CN,-117,200HO11127,011HO17733,AltaFANZONE,0.96,011HO17721,AltaYOSHI,0.24,,,
4295,CN,205,777HO10792,011HO17721,AltaYOSHI,1.21,011HO17399,AltaINSPIRE 4,2.25,011HO17733,AltaFANZONE,2.42
4296,CN,251,029HO19398,011HO17721,AltaYOSHI,2.38,011HO17399,AltaINSPIRE 4,3.25,011HO17733,AltaFANZONE,3.40
4301,CN,87,011HO12422,011HO17399,AltaINSPIRE 4,2.56,011HO17721,AltaYOSHI,1.70,011HO17733,AltaFANZONE,2.88
4305,CN,50,777HO10792,011HO17399,AltaINSPIRE 4,1.65,011HO17721,AltaYOSHI,0.65,011HO17733,AltaFANZONE,1.18
4308,CN,377,009HO15892,011HO17733,AltaFANZONE,6.55,011HO17399,AltaINSPIRE 4,2.30,011HO17721,AltaYOSHI,2.24
4311,CN,14,799HO00054,011HO17399,AltaINSPIRE 4,0.66,011HO17721,AltaYOSHI,0.31,011HO17733,AltaFANZONE,0.91
4312,CN,105,200HO11850,011HO17399,AltaINSPIRE 4,1.25,011HO17721,AltaYOSHI,0.96,011HO17733,AltaFANZONE,1.37
4313,CN,139,007HO15132,011HO17721,AltaYOSHI,2.77,011HO17733,AltaFANZONE,4.14,011HO17399,AltaINSPIRE 4,2.29
4316,CN,-78,551HO04184,011HO17733,AltaFANZONE,0.91,011HO17721,AltaYOSHI,0.34,011HO17399,AltaINSPIRE 4,0.76
4320,CN,372,007HO15167,011HO17733,AltaFANZONE,9.32,011HO17399,AltaINSPIRE 4,3.38,011HO17721,AltaYOSHI,3.62
